ID	numPRDM9BoundPeaks
KIRC_TCGA-GK-A6C7-01A	40437
KIRC_TCGA-MM-A564-01A	39229
KIRP_TCGA-2K-A9WE-01A	47675
KIRP_TCGA-4A-A93X-01A	42989
KIRP_TCGA-4A-A93Y-01A	45932
KIRP_TCGA-B1-A47N-01A	47630
KIRP_TCGA-B1-A654-01A	46692
KIRP_TCGA-B9-A44B-01A	48747
KIRP_TCGA-B9-A5W8-01A	45968
KIRP_TCGA-B9-A5W9-01A	45880
KIRP_TCGA-B9-A8YI-01A	46072
KIRP_TCGA-F9-A7Q0-01A	44851
KIRP_TCGA-F9-A7VF-01A	49421
KIRP_TCGA-F9-A8NY-01A	42886
KIRP_TCGA-GL-A9DC-01A	46851
KIRP_TCGA-HE-A5NH-01A	47340
KIRP_TCGA-HE-A5NI-01A	49827
KIRP_TCGA-HE-A5NJ-01A	47931
KIRP_TCGA-HE-A5NK-01A	49535
KIRP_TCGA-IA-A40U-01A	49631
KIRP_TCGA-IA-A40X-01A	47095
KIRP_TCGA-KV-A74V-01A	47668
KIRP_TCGA-P4-A5E6-01A	50367
KIRP_TCGA-P4-A5EA-01A	46287
KIRP_TCGA-P4-A5EB-01A	45228
KIRP_TCGA-P4-A5ED-01B	47646
KIRP_TCGA-P4-AAVL-01A	49693
KIRP_TCGA-PJ-A8JU-01A	49674
KIRP_TCGA-Q2-A5QZ-01A	47831
KIRP_TCGA-UZ-A9PJ-01A	47373
KIRP_TCGA-UZ-A9PK-01A	48668
KIRP_TCGA-UZ-A9PL-01A	48510
KIRP_TCGA-UZ-A9PM-01A	43619
KIRP_TCGA-UZ-A9PP-01A	46369
KIRP_TCGA-UZ-A9PQ-01A	43935
KIRP_TCGA-UZ-A9PV-01A	48013
LGGx_TCGA-DB-A75K-01A	36421
LGGx_TCGA-DU-5870-02A	35560
LGGx_TCGA-DU-6395-02A	37367
LGGx_TCGA-DU-6407-02B	36012
LGGx_TCGA-E1-A7YI-01A	36139
LGGx_TCGA-F6-A8O3-01A	34695
LGGx_TCGA-FG-A4MU-01B	35964
LGGx_TCGA-FG-A4MY-01A	34393
LGGx_TCGA-P5-A72W-01A	35608
LGGx_TCGA-P5-A72X-01A	27405
LGGx_TCGA-P5-A735-01A	34048
LGGx_TCGA-P5-A77X-01A	35455
LGGx_TCGA-W9-A837-01A	32201
LIHC_TCGA-BC-A10S-01A	40418
LIHC_TCGA-BC-A10T-01A	36804
LIHC_TCGA-BC-A10U-01A	42348
